machine_id,will_fail,failure_step,n_rows
M000,False,,720
M001,True,266.0,282
M002,True,258.0,274
M003,True,330.0,346
M004,False,,720
M005,False,,720
M006,True,122.0,138
M007,False,,720
M008,False,,720
M009,False,,720
M010,True,676.0,692
M011,False,,720
M012,False,,720
M013,True,490.0,506
M014,True,559.0,575
M015,True,558.0,574
M016,True,682.0,698
M017,False,,720
M018,True,334.0,350
M019,False,,720
M020,False,,720
M021,False,,720
M022,True,639.0,655
M023,False,,720
M024,True,251.0,267
M025,False,,720
M026,False,,720
M027,True,392.0,408
M028,False,,720
M029,True,201.0,217
M030,True,357.0,373
M031,True,710.0,720
M032,True,290.0,306
M033,False,,720
M034,False,,720
M035,False,,720
M036,True,576.0,592
M037,True,121.0,137
M038,False,,720
M039,True,322.0,338
