rank,feature,importance
1,current_rolling_mean_6h,0.15651482071702003
2,vibration_rolling_std_72h,0.1427159358902609
3,vibration_rolling_std_24h,0.10826442379215688
4,temperature_rolling_mean_6h,0.104279818439216
5,temperature,0.07946626057393584
6,temperature_rolling_std_72h,0.0755319585319232
7,current_rolling_std_72h,0.06094764174199828
8,current,0.05570503042053669
9,current_rolling_mean_24h,0.043512200887371906
10,temperature_rolling_mean_24h,0.03431962204510679
11,vibration_rolling_mean_6h,0.03289640833873918
12,pressure_rolling_mean_6h,0.019925377305671867
13,vibration,0.018416540510959246
14,temperature_rolling_mean_72h,0.011585135517016093
15,pressure_rolling_std_72h,0.009873860051792643
16,temperature_rolling_std_24h,0.00784970261868777
17,pressure_rolling_mean_24h,0.006870307432276352
18,pressure,0.004562080293986783
19,vibration_rolling_std_6h,0.0042730586985081755
20,vibration_rolling_mean_72h,0.003884210405520052
21,current_rolling_mean_72h,0.003462508329979787
22,pressure_rolling_std_24h,0.0027417470806356667
23,current_rolling_std_24h,0.0026123391756810443
24,vibration_rolling_mean_24h,0.002371742186553396
25,pressure_rolling_mean_72h,0.0021856680521554254
26,step,0.002026471684535464
27,temperature_rolling_std_6h,0.0009005479504600991
28,current_rolling_std_6h,0.0008153688266505439
29,pressure_rolling_std_6h,0.000579233691067569
30,temperature_diff,0.00016190519628695588
31,pressure_rate,0.00013331373263581134
32,current_diff,0.00012724083231777507
33,current_rate,0.00012181127361156064
34,pressure_diff,0.0001124255168529392
35,vibration_rate,0.00010763000546762222
36,vibration_diff,8.267452943999489e-05
37,temperature_rate,6.297772298382586e-05
